id,likes,comments,shares,reach,engagement_rate,hashtags,post_type
8142fdca-ceed-4c9c-9489-c7429232ccd6,657,487,96,4107,0.3019,"#adventure, #nature, #thane, #photography",image
717033aa-dc55-4101-8bf9-ccad1a449356,399,246,40,8329,0.0822,"#travel, #thane",carousel
eac3caef-6101-4ac5-b52c-2ac982032dc1,332,466,9,2016,0.4003,"#travel, #nature, #thane, #heritage",reel
b1a3da8c-e450-4fa5-87d7-facee1551b33,898,29,15,3700,0.2546,#nature,video
06d3a2a4-f210-4783-9769-aad2c4561664,486,95,33,5623,0.1092,"#heritage, #thane",carousel
ea5b432e-bc4e-48be-bdbb-0f28a70c93f4,901,449,73,6743,0.211,"#culture, #travel",video
ee63fbad-f1d1-4e75-a21c-87a08a6e6cdc,468,384,78,9223,0.1008,"#travel, #thane, #photography, #history",carousel
b859b6e4-c2fa-44cd-812d-9766d0e29f14,643,184,69,7926,0.113,"#travel, #thane",video
9c92e51c-5b95-4e6f-813d-7bb3962dbea1,250,215,7,9935,0.0475,#photography,video
fc73d616-183c-456d-8dc3-7580ce8af341,662,11,23,1537,0.4528,"#thane, #culture, #nature",reel
c1022810-8beb-4474-9da0-629d0c0a28f5,458,476,13,9220,0.1027,"#culture, #thane, #photography, #adventure",video
d541a8ca-9479-47c1-8d24-a6a6ad127be0,147,381,90,6405,0.0965,"#history, #adventure",video
cf108834-1950-4bb4-b402-e8ae3f429167,546,265,97,6576,0.1381,#culture,video
3732fd9d-a759-4413-aac7-4036aa13b374,294,66,29,8445,0.0461,#adventure,video
6bc8cc51-0cc8-4b66-8393-262e93c4f1e9,541,312,73,7820,0.1184,"#travel, #photography, #history, #nature",image
1c2441f6-a43d-45a2-b8fe-31c7fda010c7,171,91,15,8528,0.0325,"#adventure, #thane",image
3e2f1842-0bae-4744-a2af-3034a9b190db,286,383,54,5687,0.1271,"#photography, #thane",reel
39ac8114-c690-4568-81a4-3644eaa444eb,423,99,61,4814,0.1211,"#nature, #history",reel
1d54e1dd-d9c6-4693-b54c-a85f736f17f4,934,384,91,4801,0.2935,"#travel, #thane, #culture",reel
886f6e60-3252-4c1c-b8f8-161f987cc03b,216,462,87,8414,0.0909,#thane,carousel
f00fd375-19ff-4e4e-90e3-e9b1d5ffb59a,95,280,12,2641,0.1465,"#photography, #history",image
3acd80f0-2942-41d1-82b1-4f3710c03e3b,124,385,43,8615,0.0641,"#travel, #adventure, #heritage",image
22cd4d8b-2fff-49d9-8ce3-7de3100dd21f,557,21,63,1512,0.4239,"#photography, #adventure, #culture",reel
f9312fa1-c33c-493e-ab55-be976fb57b34,470,62,7,5738,0.0939,#culture,image
fcf5a122-083a-42d1-b5a4-c6564192b5df,595,499,11,2871,0.3849,"#heritage, #culture, #thane, #travel",video
42654b8a-16f0-46ab-a921-2a5e021c2398,789,230,14,3697,0.2794,"#nature, #travel",carousel
e89f8b22-5f46-4d4d-a470-5442b9ba64b9,195,454,14,8634,0.0768,"#history, #travel, #heritage",reel
1b82a2f4-743b-4297-be94-00e3b1ec1054,691,122,30,1726,0.4884,"#adventure, #history",video
36f85529-f542-4bfb-83c9-0039ef32e423,339,492,69,2217,0.406,"#photography, #thane, #travel, #adventure",image
d54860fb-1dc5-4295-92a8-40518b6f14e8,204,326,90,1243,0.4988,#heritage,carousel
3fbecfb4-d27d-44e6-8f55-ff0c17b1dd27,506,155,72,3677,0.1993,#travel,carousel
808b3256-4a3a-448c-9a7d-320d1eb2f48d,290,153,76,7561,0.0686,#adventure,video
e1ac0a44-1c9f-4ae5-8f25-c619d90fc0f6,311,216,59,2537,0.231,"#history, #culture, #thane",video
cc6ce06d-b9bd-4405-875c-2a8ca4357508,121,137,79,4674,0.0721,#travel,reel
41774d67-5848-4c96-b772-4d3270536318,923,445,70,8029,0.1791,"#adventure, #culture, #travel",video
fb4937c7-feef-4d07-be47-f2e2cb57d8b2,961,493,18,8415,0.1749,"#history, #thane, #nature, #photography",image
78141db8-a251-4875-bfad-bd743bb31c95,610,497,19,5687,0.198,#travel,image
63f5f385-a613-45d0-896b-3210471aa376,930,61,42,2668,0.3872,#nature,carousel
7acb61f2-439b-44f6-944c-26fdf4ca1d17,798,194,76,8916,0.1198,"#heritage, #nature",image
35122623-21da-47ca-b552-9835400e5bb4,861,52,76,9245,0.107,"#thane, #heritage, #history",image
79651a83-6624-4f56-ad2d-97df88846c97,50,11,12,6202,0.0118,"#adventure, #photography",video
384800fb-1e90-4d82-9605-b410a97e9ed0,584,302,84,4458,0.2176,"#culture, #nature, #heritage, #history",video
3602537c-798a-4443-b663-cbfa87c3e097,165,334,99,6218,0.0962,"#photography, #culture, #history, #adventure",reel
b53de9ef-7355-4b68-bc08-dcb243355953,470,207,45,8521,0.0847,"#travel, #heritage",reel
8dc2db05-f53b-4bc6-ba34-fb49e0d9d66b,525,439,59,4555,0.2246,"#nature, #photography, #adventure",carousel
40a2b73b-cb30-4df3-85e5-635178bede3b,458,61,89,8426,0.0722,"#nature, #culture",image
bc3b9079-691e-4390-bec2-79070557b0de,403,92,7,5725,0.0877,"#heritage, #nature, #thane, #history",video
735b16e7-2343-4e65-8430-08777e54ede2,374,157,32,6904,0.0815,#travel,reel
a7159ec9-7788-4fd7-a3f3-adb408b280e0,308,155,73,2040,0.2627,"#history, #thane, #travel, #heritage",carousel
0d1553b5-e937-400c-8a72-d63cdc40371a,273,231,72,1062,0.5424,"#culture, #adventure, #travel",carousel
594327ab-4e27-414d-81af-25609090a77f,111,471,93,2526,0.2672,"#heritage, #photography, #history, #nature",reel
12741450-047e-4db8-962e-0e2751b3da3a,567,295,76,3009,0.3117,"#travel, #nature, #history, #thane",image
